HJD	MAG	MER_2	Grade
1888.59038	10.558	0.036	A
1902.53308	10.594	0.034	A
1905.54753	10.577	0.032	A
1908.54457	10.578	0.031	A
1915.54637	10.618	0.033	A
1921.5327	10.581	0.032	A
2440.88162	10.581	0.029	A
2545.77189	10.678	0.029	A
2552.83197	10.602	0.032	A
2558.78043	10.617	0.034	A
2629.60137	10.585	0.032	A
2634.62863	10.602	0.03	A
2637.5447	10.715	0.032	A
2641.5641	10.588	0.03	A
2643.55959	10.594	0.032	A
2645.54555	10.592	0.032	A
2651.53557	10.569	0.032	A
2653.56324	10.74	0.033	A
2657.53782	10.646	0.034	A
2659.55815	10.606	0.03	A
2662.53391	10.606	0.03	A
2664.53701	10.594	0.034	A
2667.53365	10.605	0.03	A
2670.526	10.597	0.034	A
2815.92301	10.842	0.033	A
2820.90208	10.8	0.03	A
2832.8758	10.617	0.03	A
2843.85019	10.582	0.034	A
2851.88722	10.892	0.031	A
2858.7995	10.599	0.03	A
2860.79812	10.596	0.031	A
2862.79678	10.583	0.029	A
2871.87239	10.593	0.034	A
2874.78523	10.601	0.031	A
2876.77372	10.609	0.03	A
2883.76673	10.617	0.032	A
2885.74074	10.592	0.03	A
2892.76784	10.734	0.035	A
2896.76861	10.586	0.034	A
2898.72353	10.621	0.032	A
2900.7123	10.589	0.031	A
2903.79843	10.606	0.04	A
2906.69841	10.602	0.03	A
2908.73826	10.632	0.029	A
2910.76502	10.62	0.03	A
2912.73217	10.588	0.03	A
2915.69372	10.589	0.031	A
2917.65713	10.598	0.031	A
2926.82904	10.594	0.031	A
2932.74242	10.59	0.031	A
2934.73729	10.604	0.032	A
2940.61071	10.62	0.031	A
2942.63394	10.623	0.032	A
2943.6852	10.591	0.029	A
2945.60327	10.632	0.031	A
2951.62025	10.589	0.034	A
2953.62828	10.614	0.034	A
2961.62248	10.599	0.03	A
2963.6323	10.651	0.031	A
2965.64413	10.651	0.031	A
2969.61232	10.638	0.03	A
2971.63758	10.604	0.03	A
2973.60843	10.654	0.03	A
2978.62393	10.617	0.032	A
2980.64516	10.7	0.033	A
2982.65364	10.61	0.037	A
2984.65328	10.577	0.031	A
2987.55438	10.621	0.03	A
2989.6441	10.597	0.03	A
2992.57985	10.581	0.031	A
2994.60661	10.601	0.033	A
2997.55895	10.578	0.029	A
3008.59932	10.605	0.034	A
3011.57238	10.611	0.033	A
3013.58291	10.634	0.033	A
3017.57017	10.611	0.03	A
3189.92253	10.615	0.033	A
3401.52609	10.582	0.031	A
2558.78043	10.568	0.034	A
2885.76996	10.583	0.022	A
2956.63733	10.577	0.024	A
3373.60135	10.525	0.031	A
1921.54	10.504	0.026	A
2552.80442	10.572	0.022	A
2624.60021	10.573	0.025	A
2627.60616	10.766	0.022	A
2629.60884	10.596	0.022	A
2635.55867	10.545	0.02	A
2637.57979	10.545	0.021	A
2639.58508	10.554	0.022	A
2641.59227	10.566	0.022	A
2643.58774	10.529	0.024	A
2645.57606	10.55	0.023	A
2651.54304	10.555	0.025	A
