HJD	MAG	MER_4	GRADE
2206.53489	8.744	0.037	B
2213.51731	8.69	0.039	B
2217.50928	8.728	0.038	B
2452.69733	8.756	0.042	B
2508.71837	8.729	0.04	A
2540.62047	8.709	0.038	A
2561.54987	8.706	0.037	A
2562.57296	8.711	0.037	A
2568.56665	8.742	0.041	B
2578.53382	8.788	0.033	A
2727.90811	8.721	0.045	A
2737.90611	8.745	0.046	A
2739.89103	8.701	0.038	A
2743.90167	8.74	0.038	A
2755.85706	8.737	0.035	A
2755.87155	8.719	0.036	A
2757.90091	8.727	0.036	A
2760.86961	8.817	0.039	A
2761.86996	8.719	0.04	A
2764.86511	8.724	0.037	A
2764.91098	8.722	0.04	A
2767.91282	8.834	0.038	A
2782.90453	8.718	0.034	A
2784.8345	8.746	0.036	A
2786.81498	8.712	0.035	A
2790.83328	8.711	0.036	A
2790.84853	8.745	0.036	A
2804.79391	8.724	0.042	A
2808.83102	8.761	0.037	A
2810.74779	8.732	0.035	A
2812.73947	8.732	0.033	A
2815.87543	8.724	0.04	A
2821.77348	8.711	0.038	A
2829.74958	8.897	0.039	A
2831.69081	8.706	0.035	A
2831.70968	8.715	0.036	A
2832.74515	8.715	0.038	A
2832.7647	8.722	0.037	A
2834.68624	8.801	0.04	A
2838.86422	8.848	0.041	A
2851.72099	8.727	0.034	A
2854.59932	8.708	0.032	A
2857.79879	8.716	0.036	A
2859.60977	8.727	0.035	A
2860.69159	8.728	0.036	A
2862.63212	8.875	0.04	A
2866.64664	8.712	0.034	A
2867.72144	8.718	0.034	A
2875.65049	8.859	0.035	A
2879.64449	8.715	0.033	A
2884.63013	8.749	0.037	A
2886.57373	8.738	0.033	A
2888.6384	8.738	0.046	A
2892.66009	8.721	0.044	B
2894.59644	8.743	0.056	B
2894.59644	8.735	0.033	A
2896.60782	8.737	0.04	A
2898.5955	8.8	0.034	A
2900.59034	8.722	0.034	A
2906.57806	8.739	0.036	A
2909.57986	8.864	0.035	A
2911.55146	8.708	0.032	B
2913.56657	8.686	0.062	B
2916.55594	8.731	0.035	A
2918.58727	8.741	0.038	A
2922.55601	8.724	0.038	A
2924.5614	8.716	0.036	A
2927.56053	8.947	0.035	A
2929.56171	8.732	0.035	A
2931.56502	8.735	0.036	A
2933.56274	8.862	0.041	A
2935.56187	8.722	0.037	A
2937.56058	8.711	0.038	A
2940.53399	8.728	0.041	A
2942.52711	8.723	0.044	A
2946.55918	8.721	0.039	A
2950.52428	9.014	0.045	A
2953.52617	8.727	0.045	A
2956.52149	8.882	0.038	A
2959.519	8.99	0.042	A
3101.9062	8.723	0.056	B
3105.89773	8.727	0.052	B
3112.90132	8.715	0.052	B
3146.82936	8.701	0.047	B
3153.86289	8.713	0.032	A
3156.82699	8.742	0.032	A
3162.8351	8.854	0.04	A
3168.82252	8.718	0.034	A
3168.84744	8.858	0.034	A
3171.78593	8.729	0.051	B
3175.80275	8.705	0.039	A
3178.75543	8.824	0.05	B
3180.88634	8.708	0.034	A
3183.77535	8.744	0.043	A
3185.82485	8.904	0.043	A
3187.7604	8.699	0.042	A
3190.76867	8.868	0.039	A
3266.55444	8.691	0.034	A
3266.60833	8.71	0.038	A
3268.54329	8.711	0.04	A
3268.56282	8.71	0.037	B
3270.5556	8.739	0.042	A
3272.6169	8.736	0.058	B
3273.57459	8.723	0.04	B
3275.5914	8.737	0.042	A
3277.62771	8.986	0.048	B
3278.5789	8.731	0.036	A
3280.55899	8.712	0.034	A
3280.62177	8.718	0.044	A
3293.59763	8.727	0.047	B
3294.57448	8.869	0.036	B
3296.60965	8.73	0.041	A
3464.88927	8.809	0.037	A
3468.89839	8.721	0.041	A
3472.91179	8.673	0.047	A
3473.91122	8.698	0.045	A
3476.90213	8.954	0.04	A
3477.9085	8.739	0.042	A
3489.91525	8.741	0.065	B
3490.90551	8.718	0.042	A
3492.89176	8.732	0.052	A
3496.91624	8.708	0.052	A
3497.90951	8.69	0.049	A
3500.90312	8.961	0.036	B
3508.89905	8.7	0.038	A
3508.91856	8.701	0.036	A
3511.84239	8.814	0.041	A
3511.8684	8.993	0.039	A
3515.83587	8.74	0.043	A
3516.85899	8.747	0.052	B
3520.86784	8.673	0.05	A
3520.88955	8.686	0.05	B
3523.80516	8.713	0.051	A
3523.83809	8.78	0.048	A
3526.82749	8.731	0.041	A
3528.84859	8.758	0.06	B
3538.79864	8.717	0.047	B
3538.82232	8.73	0.034	B
3540.80289	8.774	0.044	B
3540.83309	8.866	0.044	A
3543.75977	8.704	0.054	A
3556.72049	8.961	0.04	A
3559.7621	8.702	0.056	B
3559.79445	8.736	0.056	B
3562.70818	8.776	0.039	B
3564.72629	8.709	0.042	A
3564.74542	8.728	0.038	A
3569.74837	8.845	0.038	A
3571.7335	8.713	0.045	A
3571.7441	8.736	0.042	A
3574.74787	8.812	0.047	A
3576.68753	8.698	0.041	A
3576.76309	8.725	0.042	A
3578.70927	8.733	0.039	A
3579.82742	8.692	0.044	A
3582.83231	8.879	0.05	B
3583.75351	8.739	0.053	B
3585.66859	8.827	0.043	A
3587.70903	8.715	0.042	A
3588.63706	8.711	0.051	B
3588.76586	8.726	0.034	B
3588.76827	8.696	0.036	B
3588.77076	8.72	0.033	B
3588.77409	8.745	0.038	B
3588.77646	8.759	0.035	B
3588.77896	8.759	0.035	B
3588.78146	8.729	0.034	B
3588.78396	8.758	0.034	B
3588.78648	8.79	0.038	B
3588.78899	8.797	0.038	B
3588.79148	8.775	0.034	B
3588.79399	8.813	0.037	B
3588.79645	8.843	0.037	B
3588.79896	8.814	0.038	B
3588.80651	8.88	0.039	B
3588.81236	8.875	0.04	B
3588.81771	8.891	0.036	B
3588.82372	8.868	0.045	B
3588.83976	8.768	0.036	B
3589.55795	8.774	0.042	B
3589.58857	8.991	0.04	A
3589.64889	8.724	0.039	A
